img_name, img_age, img_gender:
0_MariaCallas_35_f.jpg 35 F
10000_GlennClose_62_f.jpg 62 F
10001_GoldieHawn_23_f.jpg 23 F
10002_GoldieHawn_24_f.jpg 24 F
10003_GoldieHawn_24_f.jpg 24 F
10004_GoldieHawn_27_f.jpg 27 F
10005_GoldieHawn_28_f.jpg 28 F
10006_GoldieHawn_29_f.jpg 29 F
10007_GoldieHawn_30_f.jpg 30 F
10008_GoldieHawn_31_f.jpg 31 F
10009_GoldieHawn_35_f.jpg 35 F
1000_StephenHawking_1_m.jpg 1 M
10010_GoldieHawn_35_f.jpg 35 F
10011_GoldieHawn_37_f.jpg 37 F
517_AlKapone_30_m.jpg 30 M
5180_BobHope_90_m.jpg 90 M
5181_CharlesGrodin_35_m.jpg 35 M
5182_CharlesGrodin_37_m.jpg 37 M
5183_CharlesGrodin_39_m.jpg 39 M
5184_CharlesGrodin_41_m.jpg 41 M
5185_CharlesGrodin_42_m.jpg 42 M
5186_CharlesGrodin_43_m.jpg 43 M
5187_CharlesGrodin_45_m.jpg 45 M
5188_CharlesGrodin_46_m.jpg 46 M
5189_CharlesGrodin_48_m.jpg 48 M
518_AlKapone_32_m.jpg 32 M
5190_CharlesGrodin_50_m.jpg 50 M
5191_CharlesGrodin_52_m.jpg 52 M
5192_CharlesGrodin_54_m.jpg 54 M
5164_BobHope_58_m.jpg 58 M
5165_BobHope_60_m.jpg 60 M
5166_BobHope_62_m.jpg 62 M
5167_BobHope_64_m.jpg 64 M
5168_BobHope_74_m.jpg 74 M
5169_BobHope_83_m.jpg 83 M
516_AlKapone_30_m.jpg 30 M
5170_BobHope_68_m.jpg 68 M
5171_BobHope_75_m.jpg 75 M
5172_BobHope_77_m.jpg 77 M
5173_BobHope_80_m.jpg 80 M
5174_BobHope_82_m.jpg 82 M
5175_BobHope_90_m.jpg 90 M
5176_BobHope_92_m.jpg 92 M
5177_BobHope_93_m.jpg 93 M
5178_BobHope_94_m.jpg 94 M
16222_RichardPryor_26_m.jpg 26 M
16223_RichardPryor_26_m.jpg 26 M
16224_RichardPryor_26_m.jpg 26 M
16225_RichardPryor_37_m.jpg 37 M
16226_RichardPryor_61_m.jpg 61 M
16227_RichardPryor_65_m.jpg 65 M
16228_RichardPryor_28_m.jpg 28 M
