******************************************************************
records on Chalearn2015 dataset
******************************************************************


epoch, train_total_loss, train_argmax_MAE, train_accuracy
001, 10.5565, 4.4988, 0.4032, 95.5012
002, 9.6812, 4.0840, 0.3626, 95.9160
003, 9.2717, 3.9665, 0.3582, 96.0335
004, 8.8619, 3.7532, 0.3434, 96.2468
005, 8.9578, 3.8195, 0.3438, 96.1805
006, 8.7230, 3.7068, 0.3343, 96.2932
007, 8.4294, 3.5759, 0.3235, 96.4241
008, 8.2614, 3.4927, 0.3147, 96.5073
009, 8.0453, 3.4584, 0.3095, 96.5416
010, 8.3280, 3.5574, 0.3157, 96.4426
011, 8.0757, 3.4721, 0.3120, 96.5275
012, 7.8598, 3.3821, 0.3091, 96.6179
013, 7.9366, 3.3776, 0.3008, 96.6224
014, 7.7848, 3.3013, 0.2962, 96.6987
015, 7.6554, 3.3142, 0.2971, 96.6858
016, 7.6811, 3.2956, 0.2903, 96.7044
017, 7.5063, 3.2387, 0.2896, 96.7613
018, 7.6992, 3.2803, 0.2916, 96.7197
019, 7.3018, 3.1397, 0.2780, 96.8603
020, 7.1956, 3.0796, 0.2744, 96.9204
021, 6.9534, 2.9503, 0.2657, 97.0497
022, 6.9764, 2.9552, 0.2627, 97.0448
023, 7.2247, 3.0969, 0.2742, 96.9031
024, 7.2915, 3.1434, 0.2742, 96.8566
025, 6.8669, 2.9467, 0.2611, 97.0533
026, 7.0469, 2.9976, 0.2600, 97.0024
027, 6.9713, 2.9774, 0.2642, 97.0226
028, 6.8111, 2.8764, 0.2520, 97.1236
029, 6.9109, 2.9382, 0.2571, 97.0618
030, 6.9235, 2.9277, 0.2578, 97.0723
031, 6.5726, 2.7799, 0.2452, 97.2201
032, 6.6633, 2.8179, 0.2497, 97.1821
033, 6.5668, 2.7520, 0.2405, 97.2480
034, 6.5287, 2.7876, 0.2429, 97.2124
035, 6.8350, 2.9128, 0.2526, 97.0872
036, 6.7964, 2.8986, 0.2498, 97.1014
037, 6.7701, 2.8635, 0.2480, 97.1361
038, 6.7671, 2.8623, 0.2526, 97.1377
039, 6.5818, 2.8005, 0.2456, 97.1995
040, 6.5478, 2.7294, 0.2386, 97.2706
041, 6.7526, 2.8849, 0.2490, 97.1151
042, 6.5537, 2.7900, 0.2428, 97.2100
043, 6.8096, 2.8805, 0.2510, 97.1195
044, 6.6551, 2.8235, 0.2490, 97.1765
045, 6.7589, 2.8914, 0.2532, 97.1086
046, 6.6709, 2.7892, 0.2426, 97.2104
047, 6.5033, 2.7036, 0.2358, 97.2964
048, 6.5052, 2.7690, 0.2417, 97.2310
049, 6.6260, 2.8231, 0.2433, 97.1769
050, 6.5801, 2.8086, 0.2493, 97.1914
051, 6.6439, 2.8308, 0.2486, 97.1692
052, 6.5792, 2.7968, 0.2449, 97.2032
053, 6.6485, 2.8284, 0.2442, 97.1716
054, 6.5674, 2.7993, 0.2453, 97.2011
055, 6.4963, 2.7512, 0.2408, 97.2488
056, 6.5873, 2.7847, 0.2454, 97.2153
057, 6.4705, 2.7698, 0.2384, 97.2302
058, 6.5222, 2.8005, 0.2475, 97.1995
059, 6.3886, 2.7334, 0.2418, 97.2666
060, 6.6624, 2.8227, 0.2432, 97.1773
061, 6.6423, 2.8061, 0.2392, 97.1939
062, 6.6860, 2.8227, 0.2458, 97.1773
063, 6.7275, 2.8255, 0.2464, 97.1745
064, 6.5633, 2.7799, 0.2416, 97.2201
065, 6.5769, 2.7831, 0.2412, 97.2169
test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.9455, 2.9938, 0.2661, 97.0053
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.330, 0.518, 0.675, 0.783, 0.863, 0.908, 0.937, 0.954, 0.967, 0.981

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.9455, 2.9938, 0.2661, 97.0053
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.330, 0.518, 0.675, 0.783, 0.863, 0.908, 0.937, 0.954, 0.967, 0.981

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.9455, 2.9938, 0.2661, 97.0053
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.330, 0.518, 0.675, 0.783, 0.863, 0.908, 0.937, 0.954, 0.967, 0.981

**********************************************:
**********************************************:
test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.8065, 2.9331, 0.2581, 97.0669
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.342, 0.533, 0.677, 0.790, 0.865, 0.919, 0.946, 0.961, 0.974, 0.980

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.8065, 2.9331, 0.2581, 97.0669
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.342, 0.533, 0.677, 0.790, 0.865, 0.919, 0.946, 0.961, 0.974, 0.980

test_total_loss, test_argmax_MAE, test_epsilon_error, test_accuracy:
6.8065, 2.9331, 0.2581, 97.0669
CS_1, CS_2, CS_3, CS_4, CS_5, CS_6, CS_7, CS_8, CS_9, CS_10:
0.342, 0.533, 0.677, 0.790, 0.865, 0.919, 0.946, 0.961, 0.974, 0.980

